pts,elo_i,opp_pts,elo_n
54.00,1244.5959,81,1223.8215
81.00,1337.7271,54,1358.5015
57.00,1283.5742,62,1277.3961
62.00,1217.7629,57,1223.941
43.00,1223.8215,59,1218.111
59.00,1327.6796,43,1333.3901
72.00,1224.124,71,1228.7662
71.00,1363.3656,72,1358.7234
61.00,1297.6993,47,1314.5339
47.00,1277.3961,61,1260.5615
74.00,1294.4644,64,1303.5112
64.00,1358.5015,74,1349.4546
55.00,1333.3901,57,1331.4896
57.00,1443.5603,55,1445.4608
48.00,1218.111,43,1222.9237
43.00,1223.941,48,1219.1283
97.00,1349.4546,76,1357.0613
76.00,1265.4467,97,1257.84
83.00,1331.4896,78,1335.8369
78.00,1314.5339,83,1310.1866
96.00,1257.84,93,1264.9603
93.00,1228.7662,96,1221.6459
61.00,1335.8369,55,1344.2861
55.00,1260.5615,61,1252.1123
46.00,1303.5112,52,1290.1566
52.00,1222.9237,46,1236.2783
84.00,1445.4608,71,1448.0367
71.00,1219.1283,84,1216.5524
57.00,1344.2861,63,1339.418
63.00,1357.0613,57,1361.9294
71.00,1358.7234,66,1361.5421
66.00,1252.1123,71,1249.2936
57.00,1236.2783,80,1224.8512
80.00,1448.0367,57,1459.4639
63.00,1264.9603,71,1257.5262
71.00,1216.5524,63,1223.9865
82.00,1221.6459,88,1213.5844
88.00,1310.1866,82,1318.2482
80.00,1318.2482,70,1322.4463
70.00,1213.5844,80,1209.3862
83.00,1257.5262,73,1271.6172
73.00,1249.2936,83,1235.2026
60.00,1223.9865,64,1220.8876
64.00,1290.1566,60,1293.2555
57.00,1224.8512,69,1222.5165
69.00,1459.4639,57,1461.7986
51.00,1220.8876,66,1211.9781
66.00,1222.5165,51,1231.4259
65.00,1339.418,58,1343.9559
58.00,1293.2555,65,1288.7175
81.00,1271.6172,70,1291.0675
70.00,1361.5421,81,1342.0918
83.00,1209.3862,74,1225.045
74.00,1461.7986,83,1446.1398
63.00,1288.7175,71,1278.0945
71.00,1343.9559,63,1354.579
89.00,1291.0675,73,1297.5333
73.00,1211.9781,89,1205.5123
48.00,1322.4463,70,1311.7612
70.00,1342.0918,48,1352.7769
90.00,1361.9294,75,1366.5396
75.00,1225.045,90,1220.4349
81.00,1311.7612,107,1294.464
107.00,1446.1398,81,1463.437
